person_id,zone_id,entry_time,exit_time,dwell_s,gender,age_range,visit_date,hour_of_day
P_0001,Z_C1,2025-03-10 09:05:16,2025-03-10 09:05:46,30,M,adult,2025-03-10,9
P_0001,Z_C1,2025-03-10 09:09:35,2025-03-10 09:10:01,26,M,adult,2025-03-10,9
P_0001,Z_C2,2025-03-10 09:10:26,2025-03-10 09:10:35,9,M,adult,2025-03-10,9
P_0001,Z_C3,2025-03-10 09:10:59,2025-03-10 09:11:12,13,M,adult,2025-03-10,9
P_0001,Z_N3,2025-03-10 09:11:57,2025-03-10 09:14:30,153,M,adult,2025-03-10,9
P_0001,Z_N2,2025-03-10 09:15:00,2025-03-10 09:15:37,169,M,adult,2025-03-10,9
P_0001,Z_N5,2025-03-10 09:16:04,2025-03-10 09:19:58,234,M,adult,2025-03-10,9
P_0035,Z_CK,2025-03-10 09:21:50,2025-03-10 09:25:08,198,M,young_adult,2025-03-10,9
P_0018,Z_S5,2025-03-10 09:09:56,2025-03-10 09:12:28,152,M,young_adult,2025-03-10,9
P_0018,Z_N10,2025-03-10 09:14:35,2025-03-10 09:18:43,248,M,young_adult,2025-03-10,9
P_0018,Z_N9,2025-03-10 09:19:15,2025-03-10 09:20:18,63,M,young_adult,2025-03-10,9
P_0042,Z_E2,2025-03-10 09:25:17,2025-03-10 09:25:29,12,M,young_adult,2025-03-10,9
P_0047,Z_E1,2025-03-10 09:26:18,2025-03-10 09:26:31,13,M,middle_aged,2025-03-10,9
P_0048,Z_E2,2025-03-10 09:26:26,2025-03-10 09:26:37,11,F,adult,2025-03-10,9
P_0027,Z_N7,2025-03-10 09:17:20,2025-03-10 09:21:38,258,M,young_adult,2025-03-10,9
P_0036,Z_CK,2025-03-10 09:21:55,2025-03-10 09:26:45,290,M,adult,2025-03-10,9
P_0029,Z_S6,2025-03-10 09:19:15,2025-03-10 09:21:52,157,F,senior,2025-03-10,9
P_0040,Z_CK,2025-03-10 09:23:52,2025-03-10 09:27:12,200,F,teenager,2025-03-10,9
P_0051,Z_E2,2025-03-10 09:27:05,2025-03-10 09:27:24,19,M,adult,2025-03-10,9
P_0012,Z_C1,2025-03-10 09:06:57,2025-03-10 09:07:12,15,F,senior,2025-03-10,9
P_0012,Z_C2,2025-03-10 09:07:24,2025-03-10 09:07:35,11,F,senior,2025-03-10,9
P_0012,Z_C1,2025-03-10 09:08:04,2025-03-10 09:08:38,34,F,senior,2025-03-10,9
P_0012,Z_C2,2025-03-10 09:10:53,2025-03-10 09:11:23,30,F,senior,2025-03-10,9
P_0012,Z_C3,2025-03-10 09:11:46,2025-03-10 09:12:09,23,F,senior,2025-03-10,9
P_0012,Z_C2,2025-03-10 09:14:20,2025-03-10 09:14:52,32,F,senior,2025-03-10,9
P_0012,Z_C3,2025-03-10 09:15:15,2025-03-10 09:15:37,22,F,senior,2025-03-10,9
P_0012,Z_C2,2025-03-10 09:17:46,2025-03-10 09:18:21,35,F,senior,2025-03-10,9
P_0012,Z_C1,2025-03-10 09:18:45,2025-03-10 09:19:03,18,F,senior,2025-03-10,9
P_0012,Z_C2,2025-03-10 09:22:21,2025-03-10 09:22:55,34,F,senior,2025-03-10,9
P_0012,Z_C3,2025-03-10 09:23:15,2025-03-10 09:23:30,15,F,senior,2025-03-10,9
P_0031,Z_S3,2025-03-10 09:19:52,2025-03-10 09:24:50,298,M,adult,2025-03-10,9
P_0039,Z_N7,2025-03-10 09:23:48,2025-03-10 09:25:27,99,F,senior,2025-03-10,9
P_0034,Z_N5,2025-03-10 09:21:09,2025-03-10 09:25:32,263,F,middle_aged,2025-03-10,9
P_0038,Z_S3,2025-03-10 09:23:27,2025-03-10 09:25:49,440,M,young_adult,2025-03-10,9
P_0044,Z_N9,2025-03-10 09:25:56,2025-03-10 09:26:39,43,F,adult,2025-03-10,9
P_0067,Z_E1,2025-03-10 09:32:16,2025-03-10 09:32:28,12,F,adult,2025-03-10,9
P_0070,Z_E2,2025-03-10 09:33:01,2025-03-10 09:33:13,12,M,young_adult,2025-03-10,9
P_0006,Z_C1,2025-03-10 09:03:46,2025-03-10 09:03:56,10,F,teenager,2025-03-10,9
P_0006,Z_C2,2025-03-10 09:04:16,2025-03-10 09:04:51,35,F,teenager,2025-03-10,9
P_0006,Z_C3,2025-03-10 09:05:11,2025-03-10 09:05:39,28,F,teenager,2025-03-10,9
P_0006,Z_C2,2025-03-10 09:07:31,2025-03-10 09:07:58,27,F,teenager,2025-03-10,9
P_0006,Z_C3,2025-03-10 09:08:32,2025-03-10 09:09:06,34,F,teenager,2025-03-10,9
P_0006,Z_C2,2025-03-10 09:12:04,2025-03-10 09:12:13,9,F,teenager,2025-03-10,9
P_0006,Z_C1,2025-03-10 09:12:47,2025-03-10 09:13:12,25,F,teenager,2025-03-10,9
P_0006,Z_C2,2025-03-10 09:16:58,2025-03-10 09:17:07,9,F,teenager,2025-03-10,9
P_0006,Z_C3,2025-03-10 09:17:20,2025-03-10 09:17:40,20,F,teenager,2025-03-10,9
P_0006,Z_C2,2025-03-10 09:22:30,2025-03-10 09:22:54,24,F,teenager,2025-03-10,9
P_0006,Z_C1,2025-03-10 09:23:13,2025-03-10 09:23:43,30,F,teenager,2025-03-10,9
P_0006,Z_C1,2025-03-10 09:25:29,2025-03-10 09:25:43,14,F,teenager,2025-03-10,9
P_0006,Z_C2,2025-03-10 09:26:58,2025-03-10 09:27:24,26,F,teenager,2025-03-10,9
P_0006,Z_C3,2025-03-10 09:27:42,2025-03-10 09:28:16,34,F,teenager,2025-03-10,9
P_0013,Z_N5,2025-03-10 09:08:01,2025-03-10 09:11:32,211,M,adult,2025-03-10,9
P_0013,Z_N2,2025-03-10 09:13:36,2025-03-10 09:17:49,121,M,adult,2025-03-10,9
P_0013,Z_C2,2025-03-10 09:18:15,2025-03-10 09:18:50,35,M,adult,2025-03-10,9
P_0013,Z_C1,2025-03-10 09:19:08,2025-03-10 09:19:36,28,M,adult,2025-03-10,9
P_0013,Z_C2,2025-03-10 09:20:29,2025-03-10 09:20:45,16,M,adult,2025-03-10,9
P_0013,Z_C1,2025-03-10 09:21:14,2025-03-10 09:21:46,32,M,adult,2025-03-10,9
P_0013,Z_C2,2025-03-10 09:25:18,2025-03-10 09:25:38,20,M,adult,2025-03-10,9
P_0013,Z_C1,2025-03-10 09:27:00,2025-03-10 09:27:12,12,M,adult,2025-03-10,9
P_0013,Z_C2,2025-03-10 09:27:35,2025-03-10 09:27:49,14,M,adult,2025-03-10,9
P_0013,Z_C3,2025-03-10 09:28:21,2025-03-10 09:28:51,30,M,adult,2025-03-10,9
P_0013,Z_CK,2025-03-10 09:29:22,2025-03-10 09:33:57,530,M,adult,2025-03-10,9
P_0041,Z_S3,2025-03-10 09:24:04,2025-03-10 09:29:02,298,M,young_adult,2025-03-10,9
P_0059,Z_C1,2025-03-10 09:29:34,2025-03-10 09:29:54,20,F,senior,2025-03-10,9
P_0059,Z_CK,2025-03-10 09:31:06,2025-03-10 09:34:30,204,F,senior,2025-03-10,9
P_0072,Z_E2,2025-03-10 09:34:19,2025-03-10 09:34:33,14,F,adult,2025-03-10,9
P_0043,Z_N3,2025-03-10 09:25:55,2025-03-10 09:30:32,277,F,middle_aged,2025-03-10,9
P_0060,Z_C2,2025-03-10 09:30:03,2025-03-10 09:30:37,34,F,senior,2025-03-10,9
P_0057,Z_E2,2025-03-10 09:28:59,2025-03-10 09:29:08,9,F,senior,2025-03-10,9
P_0057,Z_C2,2025-03-10 09:29:52,2025-03-10 09:30:13,55,F,senior,2025-03-10,9
P_0057,Z_C3,2025-03-10 09:30:53,2025-03-10 09:31:07,14,F,senior,2025-03-10,9
P_0056,Z_S2,2025-03-10 09:27:56,2025-03-10 09:31:13,197,M,middle_aged,2025-03-10,9
P_0065,Z_E2,2025-03-10 09:31:42,2025-03-10 09:31:52,10,F,teenager,2025-03-10,9
P_0066,Z_CK,2025-03-10 09:32:06,2025-03-10 09:36:53,287,F,middle_aged,2025-03-10,9
P_0021,Z_C2,2025-03-10 09:12:05,2025-03-10 09:12:18,13,M,adult,2025-03-10,9
P_0021,Z_C3,2025-03-10 09:12:28,2025-03-10 09:13:02,34,M,adult,2025-03-10,9
P_0021,Z_C2,2025-03-10 09:17:08,2025-03-10 09:17:25,17,M,adult,2025-03-10,9
P_0021,Z_C1,2025-03-10 09:17:48,2025-03-10 09:17:56,8,M,adult,2025-03-10,9
P_0021,Z_C2,2025-03-10 09:21:29,2025-03-10 09:21:39,10,M,adult,2025-03-10,9
P_0021,Z_C3,2025-03-10 09:21:59,2025-03-10 09:22:33,34,M,adult,2025-03-10,9
P_0021,Z_C3,2025-03-10 09:25:46,2025-03-10 09:26:08,22,M,adult,2025-03-10,9
P_0021,Z_N3,2025-03-10 09:26:59,2025-03-10 09:27:35,36,M,adult,2025-03-10,9
P_0021,Z_C3,2025-03-10 09:29:04,2025-03-10 09:29:16,12,M,adult,2025-03-10,9
P_0021,Z_CK,2025-03-10 09:32:54,2025-03-10 09:37:09,255,M,adult,2025-03-10,9
P_0053,Z_E1,2025-03-10 09:27:27,2025-03-10 09:27:34,7,F,teenager,2025-03-10,9
P_0053,Z_C1,2025-03-10 09:32:09,2025-03-10 09:32:20,11,F,teenager,2025-03-10,9
P_0054,Z_C1,2025-03-10 09:27:41,2025-03-10 09:28:00,19,M,adult,2025-03-10,9
P_0054,Z_C2,2025-03-10 09:28:23,2025-03-10 09:28:47,24,M,adult,2025-03-10,9
P_0054,Z_C1,2025-03-10 09:31:54,2025-03-10 09:32:25,31,M,adult,2025-03-10,9
P_0079,Z_E1,2025-03-10 09:37:23,2025-03-10 09:37:34,11,M,adult,2025-03-10,9
P_0050,Z_C1,2025-03-10 09:26:40,2025-03-10 09:26:58,18,M,middle_aged,2025-03-10,9
P_0050,Z_C1,2025-03-10 09:27:23,2025-03-10 09:27:34,11,M,middle_aged,2025-03-10,9
P_0050,Z_C2,2025-03-10 09:30:49,2025-03-10 09:31:10,21,M,middle_aged,2025-03-10,9
P_0050,Z_C2,2025-03-10 09:31:22,2025-03-10 09:31:53,31,M,middle_aged,2025-03-10,9
P_0050,Z_C3,2025-03-10 09:32:07,2025-03-10 09:32:35,28,M,middle_aged,2025-03-10,9
P_0033,Z_C2,2025-03-10 09:20:44,2025-03-10 09:21:05,21,M,young_adult,2025-03-10,9
P_0033,Z_C1,2025-03-10 09:21:22,2025-03-10 09:21:37,15,M,young_adult,2025-03-10,9
P_0033,Z_C2,2025-03-10 09:22:12,2025-03-10 09:22:41,29,M,young_adult,2025-03-10,9
P_0033,Z_C1,2025-03-10 09:23:02,2025-03-10 09:23:19,17,M,young_adult,2025-03-10,9
P_0033,Z_C1,2025-03-10 09:23:36,2025-03-10 09:23:49,13,M,young_adult,2025-03-10,9
P_0033,Z_C2,2025-03-10 09:26:24,2025-03-10 09:26:56,32,M,young_adult,2025-03-10,9
P_0033,Z_C3,2025-03-10 09:27:06,2025-03-10 09:27:29,23,M,young_adult,2025-03-10,9
P_0033,Z_C2,2025-03-10 09:29:36,2025-03-10 09:29:46,10,M,young_adult,2025-03-10,9
P_0033,Z_C3,2025-03-10 09:30:02,2025-03-10 09:30:17,15,M,young_adult,2025-03-10,9
P_0033,Z_C2,2025-03-10 09:34:15,2025-03-10 09:34:39,24,M,young_adult,2025-03-10,9
P_0033,Z_C3,2025-03-10 09:34:54,2025-03-10 09:35:18,24,M,young_adult,2025-03-10,9
P_0033,Z_C2,2025-03-10 09:35:50,2025-03-10 09:36:14,24,M,young_adult,2025-03-10,9
P_0033,Z_CK,2025-03-10 09:36:55,2025-03-10 09:37:55,60,M,young_adult,2025-03-10,9
P_0082,Z_E1,2025-03-10 09:37:41,2025-03-10 09:37:56,15,M,adult,2025-03-10,9
P_0063,Z_N9,2025-03-10 09:31:21,2025-03-10 09:32:15,54,F,senior,2025-03-10,9
P_0063,Z_N9,2025-03-10 09:32:37,2025-03-10 09:33:38,61,F,senior,2025-03-10,9
P_0084,Z_E2,2025-03-10 09:38:30,2025-03-10 09:38:46,16,M,young_adult,2025-03-10,9
P_0088,Z_E2,2025-03-10 09:39:11,2025-03-10 09:39:29,18,M,young_adult,2025-03-10,9
P_0090,Z_E1,2025-03-10 09:40:06,2025-03-10 09:40:20,14,F,young_adult,2025-03-10,9
P_0076,Z_E2,2025-03-10 09:36:02,2025-03-10 09:36:07,5,F,middle_aged,2025-03-10,9
P_0076,Z_E2,2025-03-10 09:40:26,2025-03-10 09:40:32,6,F,middle_aged,2025-03-10,9
P_0075,Z_S5,2025-03-10 09:35:27,2025-03-10 09:36:09,42,F,senior,2025-03-10,9
P_0045,Z_N1,2025-03-10 09:25:56,2025-03-10 09:29:21,205,F,senior,2025-03-10,9
P_0045,Z_C1,2025-03-10 09:30:35,2025-03-10 09:30:52,17,F,senior,2025-03-10,9
P_0045,Z_C2,2025-03-10 09:33:55,2025-03-10 09:34:28,33,F,senior,2025-03-10,9
P_0045,Z_C1,2025-03-10 09:35:02,2025-03-10 09:35:15,13,F,senior,2025-03-10,9
P_0045,Z_C2,2025-03-10 09:36:17,2025-03-10 09:36:31,14,F,senior,2025-03-10,9
P_0045,Z_C3,2025-03-10 09:36:41,2025-03-10 09:37:11,30,F,senior,2025-03-10,9
P_0077,Z_S3,2025-03-10 09:36:11,2025-03-10 09:37:09,58,F,teenager,2025-03-10,9
P_0073,Z_N8,2025-03-10 09:34:46,2025-03-10 09:37:36,170,M,young_adult,2025-03-10,9
P_0062,Z_N7,2025-03-10 09:30:40,2025-03-10 09:35:06,266,F,teenager,2025-03-10,9
P_0062,Z_N10,2025-03-10 09:35:36,2025-03-10 09:38:38,182,F,teenager,2025-03-10,9
P_0085,Z_N9,2025-03-10 09:38:47,2025-03-10 09:38:52,352,F,middle_aged,2025-03-10,9
P_0061,Z_N6,2025-03-10 09:30:36,2025-03-10 09:34:24,228,M,young_adult,2025-03-10,9
P_0061,Z_N9,2025-03-10 09:35:43,2025-03-10 09:39:14,211,M,young_adult,2025-03-10,9
P_0064,Z_C1,2025-03-10 09:31:39,2025-03-10 09:31:55,16,F,middle_aged,2025-03-10,9
P_0064,Z_C1,2025-03-10 09:36:34,2025-03-10 09:36:56,22,F,middle_aged,2025-03-10,9
P_0064,Z_C2,2025-03-10 09:37:07,2025-03-10 09:37:33,26,F,middle_aged,2025-03-10,9
P_0064,Z_C3,2025-03-10 09:38:00,2025-03-10 09:38:14,14,F,middle_aged,2025-03-10,9
P_0064,Z_C2,2025-03-10 09:38:42,2025-03-10 09:39:00,18,F,middle_aged,2025-03-10,9
P_0064,Z_C1,2025-03-10 09:39:15,2025-03-10 09:39:48,33,F,middle_aged,2025-03-10,9
P_0098,Z_CK,2025-03-10 09:42:29,2025-03-10 09:45:04,155,F,teenager,2025-03-10,9
P_0106,Z_E2,2025-03-10 09:45:29,2025-03-10 09:45:42,13,F,teenager,2025-03-10,9
P_0049,Z_N7,2025-03-10 09:26:38,2025-03-10 09:31:29,291,M,adult,2025-03-10,9
P_0049,Z_N8,2025-03-10 09:32:26,2025-03-10 09:33:32,66,M,adult,2025-03-10,9
P_0049,Z_N7,2025-03-10 09:35:06,2025-03-10 09:39:04,238,M,adult,2025-03-10,9
P_0049,Z_S4,2025-03-10 09:39:47,2025-03-10 09:42:00,240,M,adult,2025-03-10,9
P_0089,Z_N9,2025-03-10 09:39:35,2025-03-10 09:42:05,150,M,adult,2025-03-10,9
P_0058,Z_N4,2025-03-10 09:29:25,2025-03-10 09:31:58,153,F,adult,2025-03-10,9
P_0058,Z_N4,2025-03-10 09:35:05,2025-03-10 09:37:23,138,F,adult,2025-03-10,9
P_0058,Z_S4,2025-03-10 09:40:33,2025-03-10 09:42:20,107,F,adult,2025-03-10,9
P_0080,Z_C2,2025-03-10 09:37:34,2025-03-10 09:37:50,16,F,teenager,2025-03-10,9
P_0080,Z_C3,2025-03-10 09:38:04,2025-03-10 09:38:25,21,F,teenager,2025-03-10,9
P_0080,Z_C2,2025-03-10 09:41:28,2025-03-10 09:41:54,26,F,teenager,2025-03-10,9
P_0080,Z_C1,2025-03-10 09:42:09,2025-03-10 09:42:18,9,F,teenager,2025-03-10,9
P_0046,Z_S5,2025-03-10 09:25:57,2025-03-10 09:26:39,42,F,teenager,2025-03-10,9
P_0046,Z_N10,2025-03-10 09:28:36,2025-03-10 09:30:25,109,F,teenager,2025-03-10,9
P_0046,Z_S4,2025-03-10 09:32:33,2025-03-10 09:35:41,188,F,teenager,2025-03-10,9
P_0046,Z_N10,2025-03-10 09:38:51,2025-03-10 09:42:37,226,F,teenager,2025-03-10,9
P_0099,Z_C1,2025-03-10 09:42:36,2025-03-10 09:42:48,12,M,young_adult,2025-03-10,9
P_0068,Z_N6,2025-03-10 09:32:23,2025-03-10 09:34:43,140,F,adult,2025-03-10,9
P_0068,Z_N9,2025-03-10 09:37:53,2025-03-10 09:41:47,234,F,adult,2025-03-10,9
P_0068,Z_N10,2025-03-10 09:42:15,2025-03-10 09:43:38,83,F,adult,2025-03-10,9
P_0092,Z_N4,2025-03-10 09:40:26,2025-03-10 09:43:45,199,F,senior,2025-03-10,9
P_0093,Z_N8,2025-03-10 09:40:40,2025-03-10 09:44:05,205,M,middle_aged,2025-03-10,9
P_0030,Z_S5,2025-03-10 09:19:38,2025-03-10 09:21:19,101,F,adult,2025-03-10,9
P_0030,Z_N5,2025-03-10 09:23:00,2025-03-10 09:25:22,142,F,adult,2025-03-10,9
P_0030,Z_N5,2025-03-10 09:29:14,2025-03-10 09:32:07,173,F,adult,2025-03-10,9
P_0030,Z_N2,2025-03-10 09:33:43,2025-03-10 09:37:45,242,F,adult,2025-03-10,9
P_0030,Z_C2,2025-03-10 09:39:26,2025-03-10 09:39:51,25,F,adult,2025-03-10,9
P_0030,Z_C1,2025-03-10 09:40:01,2025-03-10 09:40:11,10,F,adult,2025-03-10,9
P_0030,Z_C2,2025-03-10 09:42:49,2025-03-10 09:43:16,27,F,adult,2025-03-10,9
P_0030,Z_C1,2025-03-10 09:43:40,2025-03-10 09:44:06,48,F,adult,2025-03-10,9
P_0030,Z_CK,2025-03-10 09:44:32,2025-03-10 09:49:30,382,F,adult,2025-03-10,9
P_0101,Z_S5,2025-03-10 09:43:52,2025-03-10 09:44:39,47,M,young_adult,2025-03-10,9
P_0102,Z_C1,2025-03-10 09:43:54,2025-03-10 09:44:16,22,F,adult,2025-03-10,9
P_0102,Z_C2,2025-03-10 09:44:39,2025-03-10 09:45:00,21,F,adult,2025-03-10,9
P_0102,Z_C3,2025-03-10 09:45:33,2025-03-10 09:45:49,16,F,adult,2025-03-10,9
P_0102,Z_CK,2025-03-10 09:48:21,2025-03-10 09:49:45,84,F,adult,2025-03-10,9
P_0104,Z_N2,2025-03-10 09:44:26,2025-03-10 09:45:04,38,M,young_adult,2025-03-10,9
P_0119,Z_E1,2025-03-10 09:49:58,2025-03-10 09:50:15,17,M,adult,2025-03-10,9
P_0094,Z_C3,2025-03-10 09:41:18,2025-03-10 09:41:53,35,M,young_adult,2025-03-10,9
P_0094,Z_N3,2025-03-10 09:42:56,2025-03-10 09:45:35,337,M,young_adult,2025-03-10,9
P_0103,Z_N9,2025-03-10 09:43:55,2025-03-10 09:44:39,163,M,middle_aged,2025-03-10,9
P_0103,Z_S7,2025-03-10 09:45:58,2025-03-10 09:45:59,372,M,middle_aged,2025-03-10,9
P_0086,Z_N5,2025-03-10 09:38:52,2025-03-10 09:41:05,133,F,teenager,2025-03-10,9
P_0086,Z_N6,2025-03-10 09:43:08,2025-03-10 09:46:13,185,F,teenager,2025-03-10,9
P_0083,Z_C1,2025-03-10 09:38:21,2025-03-10 09:38:33,12,M,adult,2025-03-10,9
P_0083,Z_C2,2025-03-10 09:38:45,2025-03-10 09:38:54,9,M,adult,2025-03-10,9
P_0083,Z_C3,2025-03-10 09:39:04,2025-03-10 09:39:20,16,M,adult,2025-03-10,9
P_0083,Z_C2,2025-03-10 09:42:31,2025-03-10 09:42:48,17,M,adult,2025-03-10,9
P_0083,Z_C1,2025-03-10 09:43:03,2025-03-10 09:43:23,20,M,adult,2025-03-10,9
P_0083,Z_N1,2025-03-10 09:43:43,2025-03-10 09:46:20,157,M,adult,2025-03-10,9
P_0113,Z_CK,2025-03-10 09:48:41,2025-03-10 09:51:47,186,F,young_adult,2025-03-10,9
P_0107,Z_N9,2025-03-10 09:45:48,2025-03-10 09:46:49,61,F,young_adult,2025-03-10,9
P_0091,Z_C2,2025-03-10 09:40:19,2025-03-10 09:40:45,26,M,young_adult,2025-03-10,9
P_0091,Z_C1,2025-03-10 09:41:02,2025-03-10 09:41:26,24,M,young_adult,2025-03-10,9
P_0091,Z_C2,2025-03-10 09:42:23,2025-03-10 09:42:34,11,M,young_adult,2025-03-10,9
P_0091,Z_C1,2025-03-10 09:43:06,2025-03-10 09:43:27,21,M,young_adult,2025-03-10,9
P_0091,Z_C2,2025-03-10 09:47:26,2025-03-10 09:47:42,16,M,young_adult,2025-03-10,9
P_0091,Z_C1,2025-03-10 09:48:10,2025-03-10 09:48:24,14,M,young_adult,2025-03-10,9
P_0091,Z_CK,2025-03-10 09:48:55,2025-03-10 09:52:08,193,M,young_adult,2025-03-10,9
P_0078,Z_E1,2025-03-10 09:37:22,2025-03-10 09:37:31,9,F,middle_aged,2025-03-10,9
P_0078,Z_C1,2025-03-10 09:40:40,2025-03-10 09:41:15,35,F,middle_aged,2025-03-10,9
P_0078,Z_C2,2025-03-10 09:45:38,2025-03-10 09:45:49,11,F,middle_aged,2025-03-10,9
P_0078,Z_C3,2025-03-10 09:46:16,2025-03-10 09:46:27,11,F,middle_aged,2025-03-10,9
P_0078,Z_N3,2025-03-10 09:47:08,2025-03-10 09:47:09,358,F,middle_aged,2025-03-10,9
P_0109,Z_N4,2025-03-10 09:46:23,2025-03-10 09:47:22,59,F,teenager,2025-03-10,9
P_0105,Z_N9,2025-03-10 09:45:17,2025-03-10 09:47:33,136,M,young_adult,2025-03-10,9
P_0128,Z_E1,2025-03-10 09:52:38,2025-03-10 09:52:51,13,M,young_adult,2025-03-10,9
P_0100,Z_S2,2025-03-10 09:43:37,2025-03-10 09:47:56,259,M,adult,2025-03-10,9
P_0074,Z_E2,2025-03-10 09:34:55,2025-03-10 09:35:04,9,F,senior,2025-03-10,9
P_0074,Z_N2,2025-03-10 09:37:45,2025-03-10 09:40:12,147,F,senior,2025-03-10,9
P_0074,Z_N1,2025-03-10 09:44:09,2025-03-10 09:49:00,291,F,senior,2025-03-10,9
P_0087,Z_S6,2025-03-10 09:38:56,2025-03-10 09:42:52,236,M,young_adult,2025-03-10,9
P_0087,Z_N6,2025-03-10 09:46:42,2025-03-10 09:49:26,164,M,young_adult,2025-03-10,9
P_0111,Z_E1,2025-03-10 09:47:42,2025-03-10 09:47:52,10,M,child,2025-03-10,9
P_0111,Z_C1,2025-03-10 09:48:03,2025-03-10 09:48:33,30,M,child,2025-03-10,9
P_0111,Z_C2,2025-03-10 09:48:53,2025-03-10 09:49:15,22,M,child,2025-03-10,9
P_0111,Z_C3,2025-03-10 09:49:33,2025-03-10 09:49:43,10,M,child,2025-03-10,9
P_0052,Z_E2,2025-03-10 09:27:16,2025-03-10 09:27:24,8,M,adult,2025-03-10,9
P_0052,Z_C2,2025-03-10 09:27:48,2025-03-10 09:28:00,12,M,adult,2025-03-10,9
